Id,ApiGameId,SystemId,Title,Genre,CoverURL,Upc,loose-price,cib-price,GameConsoleId,release-date
196,12152,NES,Deja Vu,Action & Adventure,https://www.mobygames.com/images/covers/l/65720-deja-vu-a-nightmare-comes-true-nes-front-cover.jpg,,$9.18,$23.72,1,1990-12-01
197,12153,NES,Demon Sword,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/6/68/Demon_Sword_Cover.jpg,,$6.48,$23.99,1,1990-01-01
198,12154,NES,Desert Commander,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/f/fa/Desert_Commander.jpg,,$6.64,$15.36,1,1989-06-01
199,12155,NES,Destination Earthstar,Other,https://upload.wikimedia.org/wikipedia/en/d/d2/Destination_Earthstar_Cover.jpg,,$4.99,$13.05,1,1990-02-01
200,12156,NES,Destiny of an Emperor,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/3/31/Destiny_of_an_Emperor_Cover.jpg,,$20.99,$73.72,1,1990-09-01
201,12157,NES,Dick Tracy,Action & Adventure,https://www.mobygames.com/images/covers/l/32221-dick-tracy-nes-front-cover.jpg,,$5.55,$20.55,1,1990-08-01
202,8841,NES,Die Hard,Action & Adventure,https://www.mobygames.com/images/covers/l/60371-die-hard-nes-front-cover.jpg,,$77.83,$205.47,1,1992-01-01
203,12159,NES,Dig Dug II: Trouble in Paradise,Action & Adventure,https://www.mobygames.com/images/covers/l/18840-dig-dug-ii-trouble-in-paradise-nes-front-cover.jpg,,$7.82,$21.99,1,1989-12-01
204,12160,NES,Digger T Rock,Action & Adventure,https://www.mobygames.com/images/covers/l/187076-digger-t-rock-legend-of-the-lost-city-nes-front-cover.png,,$14.31,$23.45,1,1990-12-01
205,12161,NES,Dirty Harry,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/7/7a/Dirty_Harry_-_The_War_Against_Drugs_Coverart.png,,$7.65,$23.75,1,1990-12-01
206,39508,NES,Dizzy the Adventurer,Puzzle,https://www.mobygames.com/images/covers/l/15240-the-fantastic-adventures-of-dizzy-nes-front-cover.jpg,,$23.99,$109.15,1,1993-01-01
207,21555,NES,Dogbone Controller,Controllers,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Nintendo-Famicom-NES-Dogbone-Controller-FL.jpg/800px-Nintendo-Famicom-NES-Dogbone-Controller-FL.jpg,,$18.51,$49.99,1,
208,11985,NES,Donkey Kong,Action & Adventure,https://www.mobygames.com/images/covers/l/206582-donkey-kong-nes-front-cover.png,,$25.84,$151.52,1,1986-06-01
209,12163,NES,Donkey Kong 3,Action & Adventure,https://www.mobygames.com/images/covers/l/246580-donkey-kong-3-nes-front-cover.png,,$12.95,$55.49,1,1986-06-01
210,37986,NES,Donkey Kong 3 [5 Screw],Action & Adventure,https://www.mobygames.com/images/covers/l/246580-donkey-kong-3-nes-front-cover.png,,$15.75,$79.00,1,1986-06-01
211,12164,NES,Donkey Kong Classics,Action & Adventure,https://www.mobygames.com/images/covers/l/15771-donkey-kong-classics-nes-front-cover.jpg,,$14.48,$36.49,1,1988-10-01
212,11986,NES,Donkey Kong Jr,Action & Adventure,https://www.mobygames.com/images/covers/l/16324-donkey-kong-junior-nes-front-cover.jpg,,$18.40,$137.93,1,1986-06-01
213,11987,NES,Donkey Kong Jr Math,Other,https://www.mobygames.com/images/covers/l/206578-donkey-kong-jr-math-nes-front-cover.png,,$74.97,$1048.75,1,1985-10-01
214,37968,NES,Donkey Kong Jr Math [5 Screw],Action & Adventure,https://www.mobygames.com/images/covers/l/206578-donkey-kong-jr-math-nes-front-cover.png,,$86.00,$956.25,1,1985-10-01
215,37985,NES,Donkey Kong Jr [5 Screw],Action & Adventure,https://www.mobygames.com/images/covers/l/16324-donkey-kong-junior-nes-front-cover,,$18.02,$97.18,1,1986-06-01
216,37984,NES,Donkey Kong [5 Screw],Action & Adventure,https://www.mobygames.com/images/covers/l/206582-donkey-kong-nes-front-cover.png,,$27.70,$104.25,1,1986-06-01
217,12167,NES,Double Dare,Action & Adventure,https://www.mobygames.com/images/covers/l/218409-double-dare-nes-front-cover.png,,$7.67,$28.91,1,1990-04-01
218,12207,NES,Double Dragon,Action & Adventure,https://www.mobygames.com/images/covers/l/16095-double-dragon-nes-front-cover.jpg,,$9.25,$37.75,1,1988-06-01
219,12208,NES,Double Dragon II,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/NES_Double_Dragon_II_packaging_front.jpg/220px-NES_Double_Dragon_II_packaging_front.jpg,,$11.04,$30.00,1,1990-01-01
