Id,SystemId,Title,Genre, CoverURL, Upc
11997,NES,Legend of Kage,Action & Adventure
38018,NES,Legend of Kage [5 Screw],Action & Adventure
9236,NES,Legend of Zelda,Strategy
38020,NES,Legend of Zelda [5 Screw],Action & Adventure
38512,NES,Legend of Zelda [Gray Cart],Action & Adventure
12304,NES,Legendary Wings,Other
12305,NES,Legends of the Diamond,Baseball
9240,NES,Lemmings,Puzzle
9245,NES,Lethal Weapon,Action & Adventure
12306,NES,Life Force,Action & Adventure
12307,NES,Linus Spacehead's Cosmic Adventure,Action & Adventure
39522,NES,Linus Spacehead's Cosmic Adventure [Aladdin],Action & Adventure
12308,NES,Little League Baseball,Baseball
9248,NES,Little Mermaid,Action & Adventure
9249,NES,Little Nemo The Dream Master,Action & Adventure
12309,NES,Little Ninja Brothers,Action & Adventure
9250,NES,Little Samson,Action & Adventure
11998,NES,Lode Runner,Action & Adventure
38024,NES,Lode Runner [5 Screw],Action & Adventure
9253,NES,Lone Ranger,Action & Adventure
12310,NES,Loopz,Puzzle
12311,NES,Low G Man,Action & Adventure
9260,NES,Lunar Pool,Sports
38036,NES,Lunar Pool [5 Screw],Sports
9307,NES,M.C. Kids,Action & Adventure
9387,NES,M.U.L.E.,Other
12386,NES,MTV Remote Control,Action & Adventure
12312,NES,MUSCLE,Action & Adventure
11999,NES,Mach Rider,Racing
37978,NES,Mach Rider [5 Screw],Racing
12313,NES,Mad Max,Action & Adventure
9275,NES,Magic Darts,Sports
12227,NES,Magic Johnson's Fast Break,Basketball
12314,NES,Magician,Action & Adventure
12315,NES,Magmax,Action & Adventure
12316,NES,Major League Baseball,Baseball
12317,NES,Maniac Mansion,Action & Adventure
13766,NES,Mappy-Land,Action & Adventure
12319,NES,Marble Madness,Puzzle
12000,NES,Mario Bros,Action & Adventure
37987,NES,Mario Bros [5 Screw],Action & Adventure
9287,NES,Mario Is Missing,Action & Adventure
9289,NES,Mario's Time Machine,Action & Adventure
12321,NES,Master Chu and the Drunkard Hu,Action & Adventure
14925,NES,Maxi 15,Action & Adventure
12322,NES,Mechanized Attack,Action & Adventure
9314,NES,Mega Man,Action & Adventure
37373,NES,Mega Man 10,Action & Adventure
12323,NES,Mega Man 2,Action & Adventure
53798,NES,Mega Man 2 [30th Anniversary Edition],Action & Adventure
9315,NES,Mega Man 3,Action & Adventure
12324,NES,Mega Man 4,Action & Adventure
